ID,Faction,Instance_ID,Supercedes,Title_lang[0],Title_lang[1],Title_lang[2],Title_lang[3],Title_lang[4],Title_lang[5],Title_lang[6],Title_lang[7],Title_lang[8],Title_lang[9],Title_lang[10],Title_lang[11],Title_lang[12],Title_lang[13],Title_lang[14],Title_lang[15],Title_lang_mask,Description_lang[0],Description_lang[1],Description_lang[2],Description_lang[3],Description_lang[4],Description_lang[5],Description_lang[6],Description_lang[7],Description_lang[8],Description_lang[9],Description_lang[10],Description_lang[11],Description_lang[12],Description_lang[13],Description_lang[14],Description_lang[15],Description_lang_mask,Category,Points,Ui_order,Flags,IconID,Reward_lang[0],Reward_lang[1],Reward_lang[2],Reward_lang[3],Reward_lang[4],Reward_lang[5],Reward_lang[6],Reward_lang[7],Reward_lang[8],Reward_lang[9],Reward_lang[10],Reward_lang[11],Reward_lang[12],Reward_lang[13],Reward_lang[14],Reward_lang[15],Reward_lang_mask,Minimum_criteria,Shares_criteria
398,-1,-1,397,Mercilessly Dedicated,,,,,,,,,,,,,,,,16711750,Win 100 ranked arena matches.,,,,,,,,,,,,,,,,16711750,165,25,3,0,2915,,,,,,,,,,,,,,,,,16711748,0,0
381,-1,-1,0,World,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,136,0,3,1,4,,,,,,,,,,,,,,,,,16711748,0,0
345,-1,-1,0,Health potions consumed,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,145,0,3,1,4,,,,,,,,,,,,,,,,,16711748,0,0
128,-1,-1,127,Artisan Fisherman,,,,,,,,,,,,,,,,16711750,Become an artisan fisherman.,,,,,,,,,,,,,,,,16711750,171,5,3,0,580,,,,,,,,,,,,,,,,,16711748,0,0
123,-1,-1,122,Artisan Cook,,,,,,,,,,,,,,,,16712006,Become an artisan cook.,,,,,,,,,,,,,,,,16711750,170,5,3,0,1467,,,,,,,,,,,,,,,,,16711748,0,0
113,-1,-1,0,Deaths from fatigue,,,,,,,,,,,,,,,,16711750,Deaths from fatigue,,,,,,,,,,,,,,,,16711750,126,0,3,1,4,,,,,,,,,,,,,,,,,16711684,0,0
109,-1,-1,0,Bosses killed,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711748,135,0,3,1,4,,,,,,,,,,,,,,,,,16711748,0,0
92,-1,-1,0,Highest Guild rank,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711756,150,0,3,1,0,,,,,,,,,,,,,,,,,16711748,0,0
44,-1,-1,0,Explore Outland,,,,,,,,,,,,,,,,16711750,Explore the regions of Outland.,,,,,,,,,,,,,,,,16711750,97,25,3,0,2763,,,,,,,,,,,,,,,,,16711748,0,0
768,-1,-1,0,Explore Tirisfal Glades,,,,,,,,,,,,,,,,16711750,"Explore Tirisfal Glades, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14777,5,3,0,221,,,,,,,,,,,,,,,,,16711748,0,0
197,-1,-1,0,Total damage done,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,141,0,3,1,4,,,,,,,,,,,,,,,,,16711748,0,0
732,-1,-1,731,Professional Artisan,,,,,,,,,,,,,,,,16711750,Become an artisan in a profession.,,,,,,,,,,,,,,,,16711750,169,5,3,0,2846,,,,,,,,,,,,,,,,,16711748,1,0
1183,-1,-1,0,Brew of the Year,,,,,,,,,,,,,,,,0,Sample 12 beers featured in the Brew of the Month club.,,,,,,,,,,,,,,,,0,162,10,3,0,2535,,,,,,,,,,,,,,,,,0,0,0
255,-1,-1,0,Bring Me The Head of... Oh Wait,,,,,,,,,,,,,,,,16711748,Kill the Headless Horseman.,,,,,,,,,,,,,,,,16711748,158,5,3,0,1817,,,,,,,,,,,,,,,,,16711748,0,0
198,-1,-1,0,Total healing done,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,142,0,3,1,4,,,,,,,,,,,,,,,,,16711748,0,0
783,-1,566,0,The Perfect Storm,,,,,,,,,,,,,,,,16711748,Win Eye of the Storm with a score of 2000 to 0.,,,,,,,,,,,,,,,,16711748,14803,10,3,0,2830,,,,,,,,,,,,,,,,,16711748,0,0
386,-1,-1,0,Battlegrounds,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,137,0,3,1,4,,,,,,,,,,,,,,,,,16711748,0,0
350,-1,-1,0,Mage Portals taken,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,134,0,3,1,4,,,,,,,,,,,,,,,,,16711748,0,0
505,-1,-1,504,250 Quests Completed,,,,,,,,,,,,,,,,16711750,Complete 250 quests.,,,,,,,,,,,,,,,,16711750,96,10,3,0,2890,,,,,,,,,,,,,,,,,16711748,0,0
1108,-1,-1,0,Deaths in 5v5,,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,123,0,3,1,1,,,,,,,,,,,,,,,,,16711680,0,0
1093,-1,189,0,Scarlet Commander Mograine kills (Scarlet Monastery),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14821,5,3,1,2792,,,,,,,,,,,,,,,,,16711680,0,0
1070,-1,560,0,Epoch Hunter kills (The Escape From Durnholde),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14822,5,3,1,1701,,,,,,,,,,,,,,,,,16711680,0,0
817,-1,-1,0,Highest total health,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,143,0,3,1,1,,,,,,,,,,,,,,,,,16711748,0,0
342,-1,-1,0,Epic items acquired,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,191,0,3,1,4,,,,,,,,,,,,,,,,,16711748,0,0
630,-1,43,0,Wailing Caverns,,,,,,,,,,,,,,,,16712006,Kill Mutanus the Devourer.,,,,,,,,,,,,,,,,16711748,14808,5,3,0,2809,,,,,,,,,,,,,,,,,16711748,0,0
480,-1,601,0,Azjol-Nerub,,,,,,,,,,,,,,,,16711750,Kill all of the bosses in Azjol-Nerub.,,,,,,,,,,,,,,,,16711750,14806,5,3,0,1899,,,,,,,,,,,,,,,,,16711748,0,0
1023,1,-1,0,Flame Warden of Kalimdor,,,,,,,,,,,,,,,,16711748,Honor the flames of Kalimdor.,,,,,,,,,,,,,,,,16711748,161,5,3,0,1923,,,,,,,,,,,,,,,,,16711684,0,0
649,-1,547,0,The Slave Pens,,,,,,,,,,,,,,,,16712006,Kill Quagmirran.,,,,,,,,,,,,,,,,16711750,14805,5,3,0,2051,,,,,,,,,,,,,,,,,16711748,0,0
752,1,-1,0,Deaths in Naxxramas,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,125,0,3,1,1,,,,,,,,,,,,,,,,,16711748,0,0
133,-1,-1,132,Artisan in First Aid,,,,,,,,,,,,,,,,16711782,Become an artisan in first aid.,,,,,,,,,,,,,,,,16711782,172,5,3,0,504,,,,,,,,,,,,,,,,,16711748,0,0
56,-1,489,0,Deaths in Warsong Gulch,,,,,,,,,,,,,,,,16711750,,,,,,,,,,,,,,,,,16711680,124,0,3,1,1,,,,,,,,,,,,,,,,,16711748,0,0
867,-1,-1,0,Explore Terokkar Forest,,,,,,,,,,,,,,,,16711750,"Explore Terokkar Forest, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14779,5,3,0,2175,,,,,,,,,,,,,,,,,16711748,0,0
842,-1,-1,0,Explore Teldrassil,,,,,,,,,,,,,,,,16711750,"Explore Teldrassil, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14778,5,3,0,1486,,,,,,,,,,,,,,,,,16711748,0,0
933,-1,-1,0,Total 10-player raids entered,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,14807,0,3,1,1,,,,,,,,,,,,,,,,,16711748,0,0
804,-1,-1,0,Total gold earned in one play session,,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16715844,140,0,3,1,1,,,,,,,,,,,,,,,,,16711748,0,0
799,-1,-1,0,Spirit returned to body by shamans,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,127,0,3,0,1,,,,,,,,,,,,,,,,,16711748,0,0
790,-1,-1,0,Number of 25-person groups,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,149,0,3,0,1,,,,,,,,,,,,,,,,,16711748,0,0
662,-1,-1,0,Collector's Edition: Mini-Diablo,,,,,,,,,,,,,,,,16711750,Owner of the World of Warcraft Collector's Edition Mini-Diablo pet.,,,,,,,,,,,,,,,,16711748,81,0,3,0,2795,,,,,,,,,,,,,,,,,16711748,0,0
755,1,-1,0,Longest Battleground winning streak,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,153,0,3,0,1,,,,,,,,,,,,,,,,,16711748,0,0
754,1,-1,0,Longest Arena winning streak,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,152,0,3,1,1,,,,,,,,,,,,,,,,,16711748,0,0
524,-1,-1,523,10 Exalted Reputations,,,,,,,,,,,,,,,,16711748,Raise 10 reputations to Exalted.,,,,,,,,,,,,,,,,16711748,201,5,3,0,1879,,,,,,,,,,,,,,,,,16711748,0,0
607,-1,-1,606,10 Coins of Ancestry,,,,,,,,,,,,,,,,16711750,Receive 10 Coins of Ancestry.,,,,,,,,,,,,,,,,16711750,160,5,3,0,2717,,,,,,,,,,,,,,,,,16711748,0,0
279,-1,-1,0,Grinch the Greench  <PH> <nyi>,,,,,,,,,,,,,,,,16711748,Complete the Grinch Quest.,,,,,,,,,,,,,,,,16711748,156,5,3,0,2526,,,,,,,,,,,,,,,,,16711748,0,0
250,-1,-1,0,Egg Hunter  <PH> <nyi>,,,,,,,,,,,,,,,,16711748,Open X eggs in Y minutes.,,,,,,,,,,,,,,,,16711748,159,5,3,0,2976,,,,,,,,,,,,,,,,,16711748,0,0
234,-1,-1,0,Shots and Giggles <PH> <nyi>,,,,,,,,,,,,,,,,16711748,Get shot out of all of the Darkmoon Cannons.,,,,,,,,,,,,,,,,16711748,157,5,3,0,4,,,,,,,,,,,,,,,,,16711748,0,0
529,-1,-1,0,Total factions at Honored or higher,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16775148,147,0,3,1,1,,,,,,,,,,,,,,,,,16711748,0,0
515,-1,-1,513,500 Honorable Kills,,,,,,,,,,,,,,,,16711750,Get 500 honorable kills.,,,,,,,,,,,,,,,,16711750,95,5,3,0,1477,,,,,,,,,,,,,,,,,16711748,0,0
221,-1,30,0,Alterac Grave Robber,,,,,,,,,,,,,,,,16711750,Take 50 graveyards in Alterac Valley.,,,,,,,,,,,,,,,,16711748,14801,10,3,0,695,,,,,,,,,,,,,,,,,16711748,0,0
317,-1,-1,0,World dishonorable kills,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,154,0,3,1,4,,,,,,,,,,,,,,,,,16711748,0,0
189,-1,-1,0,Largest heal,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,142,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
97,-1,-1,0,Daily quests completed,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711756,133,0,4,1,0,,,,,,,,,,,,,,,,,16711748,0,0
45,-1,-1,0,Explore Northrend <NYI>,,,,,,,,,,,,,,,,16711750,Explore the regions of Northrend.,,,,,,,,,,,,,,,,16711750,97,25,4,0,2760,,,,,,,,,,,,,,,,,16711748,0,0
158,-1,529,0,Me and the Cappin' Makin' it Happen,,,,,,,,,,,,,,,,16711680,Take 50 flags in Arathi Basin.,,,,,,,,,,,,,,,,16711750,14802,10,4,0,2300,,,,,,,,,,,,,,,,,16711748,0,0
134,-1,-1,133,Master in First Aid,,,,,,,,,,,,,,,,16711782,Become a master in first aid.,,,,,,,,,,,,,,,,16711782,172,5,4,0,504,,,,,,,,,,,,,,,,,16711748,0,0
337,-1,-1,0,Epic items crafted,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,191,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
383,-1,-1,0,Arena,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,136,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
293,-1,-1,0,Liderhoser <PH> <nyi>,,,,,,,,,,,,,,,,16711748,Put together 3 pieces of Brewfest clothing and wear the outfit to the Tapping of the Keg ceremony.,,,,,,,,,,,,,,,,16711748,162,5,4,0,1,,,,,,,,,,,,,,,,,16711748,0,0
200,-1,489,0,Persistent Defender,,,,,,,,,,,,,,,,16711750,Return 50 flags as a defender in Warsong Gulch.,,,,,,,,,,,,,,,,16711750,14804,10,4,0,2170,,,,,,,,,,,,,,,,,16711748,0,0
918,-1,-1,0,Total deaths in 5-player dungeons,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,125,0,4,0,1,,,,,,,,,,,,,,,,,16711748,0,0
859,-1,-1,0,Explore Eversong Woods,,,,,,,,,,,,,,,,16711750,"Explore Eversong Woods, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14777,5,4,0,2125,,,,,,,,,,,,,,,,,16711748,0,0
289,-1,-1,0,The Savior of Hallow's End,,,,,,,,,,,,,,,,16711746,Complete one of the quests to save a village from the Headless Horseman.,,,,,,,,,,,,,,,,16711744,158,5,4,0,37,,,,,,,,,,,,,,,,,16711748,1,0
392,-1,-1,0,Most damage dealt in one Battleground,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16729468,153,0,4,1,1243604,,,,,,,,,,,,,,,,,16711748,0,0
110,-1,-1,0,Boss killed the most TBD,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711748,135,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
1106,1,-1,0,Deaths in Eye of the Storm,,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,124,0,4,1,1,,,,,,,,,,,,,,,,,16711680,0,0
1094,-1,209,0,Chief Ukorz Sandscalp kills (Zul'Farrak),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14821,5,4,1,1698,,,,,,,,,,,,,,,,,16711680,0,0
1071,-1,547,0,Quagmirran kills (Slave Pens),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14822,5,4,1,2051,,,,,,,,,,,,,,,,,16711680,0,0
1104,-1,-1,0,Total 10-player raids completed (final boss killed),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14807,0,4,1,1,,,,,,,,,,,,,,,,,16711680,0,0
815,-1,-1,0,Highest total mana,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,143,0,4,1,1,,,,,,,,,,,,,,,,,16711748,0,0
800,-1,-1,0,Redeemed by paladins,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,127,0,4,0,1,,,,,,,,,,,,,,,,,16711748,0,0
791,-1,-1,0,Number of 10-person groups,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,149,0,4,0,1,,,,,,,,,,,,,,,,,16711748,0,0
663,-1,-1,0,Collector's Edition: Panda,,,,,,,,,,,,,,,,16711750,Owner of the World of Warcraft Collector's Edition Panda pet.,,,,,,,,,,,,,,,,16711748,81,0,4,0,2531,,,,,,,,,,,,,,,,,16711748,0,0
277,-1,-1,0,Winter Dancer <PH> <nyi>,,,,,,,,,,,,,,,,16711748,Dance with Greatfather Winter while wearing a completed Holiday outfit.,,,,,,,,,,,,,,,,16711748,156,5,4,0,2734,,,,,,,,,,,,,,,,,16711748,0,0
866,-1,-1,0,Explore Nagrand,,,,,,,,,,,,,,,,16711750,"Explore Nagrand, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14779,5,4,0,2866,,,,,,,,,,,,,,,,,16711748,0,0
521,-1,-1,524,15 Exalted Reputations,,,,,,,,,,,,,,,,16711748,Raise 15 reputations to Exalted.,,,,,,,,,,,,,,,,16711748,201,5,4,0,1879,,,,,,,,,,,,,,,,,16711748,0,0
481,-1,-1,0,Ahn'kahet: The Old Kingdom <NYI>,,,,,,,,,,,,,,,,16711748,Kill all of the bosses in Ahn'kahet: The Old Kingdom.,,,,,,,,,,,,,,,,16711680,14806,5,4,0,1256,,,,,,,,,,,,,,,,,16711748,0,0
222,-1,30,0,Tower Defense,,,,,,,,,,,,,,,,16711750,Defend 50 towers in Alterac Valley.,,,,,,,,,,,,,,,,16711748,14801,10,4,0,2661,,,,,,,,,,,,,,,,,16711748,0,0
318,-1,-1,0,Total times killed by opposite faction,,,,,,,,,,,,,,,,16711786,,,,,,,,,,,,,,,,,16711775,154,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
608,-1,-1,607,25 Coins of Ancestry,,,,,,,,,,,,,,,,16711750,Receive 25 Coins of Ancestry.,,,,,,,,,,,,,,,,16711750,160,5,4,0,2717,,,,,,,,,,,,,,,,,16711748,0,0
516,-1,-1,515,1000 Honorable Kills,,,,,,,,,,,,,,,,16711750,Get 1000 honorable kills.,,,,,,,,,,,,,,,,16711748,95,5,4,0,533,,,,,,,,,,,,,,,,,16711748,0,0
506,-1,-1,505,500 Quests Completed,,,,,,,,,,,,,,,,16711750,Complete 500 quests.,,,,,,,,,,,,,,,,16711750,96,25,4,0,2889,,,,,,,,,,,,,,,,,16711748,0,0
1024,1,530,0,Flame Warden of Outland,,,,,,,,,,,,,,,,16711748,Honor the flames of Outland.,,,,,,,,,,,,,,,,16711748,161,5,4,0,1923,,,,,,,,,,,,,,,,,16711684,0,0
124,-1,-1,123,Master Cook,,,,,,,,,,,,,,,,16712014,Become a master cook.,,,,,,,,,,,,,,,,16711750,170,5,4,0,1467,,,,,,,,,,,,,,,,,16711748,0,0
114,-1,-1,0,Deaths from falling,,,,,,,,,,,,,,,,16711750,Deaths from falling,,,,,,,,,,,,,,,,16711750,126,0,4,1,4,,,,,,,,,,,,,,,,,16711684,0,0
9,-1,-1,8,Level 40,,,,,,,,,,,,,,,,16711750,Reach level 40.,,,,,,,,,,,,,,,,16711750,92,5,4,4,2970,,,,,,,,,,,,,,,,,16711748,0,0
180,-1,-1,0,Total number of items enchanted,,,,,,,,,,,,,,,,16711788,,,,,,,,,,,,,,,,,16711775,176,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
834,-1,-1,0,Items deposited to Guild bank,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,150,0,4,1,1,,,,,,,,,,,,,,,,,16711748,0,0
351,-1,-1,0,Times summoned by warlock,,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711775,134,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
875,-1,-1,398,Vengefully Dedicated,,,,,,,,,,,,,,,,16711748,Win 100 ranked arena matches.,,,,,,,,,,,,,,,,16711748,165,25,4,0,2916,,,,,,,,,,,,,,,,,16711748,0,0
924,-1,-1,0,Northrend factions at Exalted,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,147,0,4,1,1,,,,,,,,,,,,,,,,,16711748,0,0
922,-1,-1,0,Mana potions consumed,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,145,0,4,0,1,,,,,,,,,,,,,,,,,16711748,0,0
860,-1,-1,0,Explore Azuremyst Isle,,,,,,,,,,,,,,,,16711750,"Explore Azuremyst Isle, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14778,5,4,0,2124,,,,,,,,,,,,,,,,,16711748,0,0
784,-1,566,0,Eye of the Storm Domination,,,,,,,,,,,,,,,,16711748,Win Eye of the Storm 10 times while holding 4 bases.,,,,,,,,,,,,,,,,16711748,14803,20,4,0,2830,,,,,,,,,,,,,,,,,16711748,0,0
650,-1,546,0,Underbog,,,,,,,,,,,,,,,,16711750,Kill The Black Stalker.,,,,,,,,,,,,,,,,16711748,14805,5,4,0,2603,,,,,,,,,,,,,,,,,16711748,0,0
631,-1,33,0,Shadowfang Keep,,,,,,,,,,,,,,,,16712038,Kill Archmage Arugal.,,,,,,,,,,,,,,,,16712004,14808,5,4,0,2126,,,,,,,,,,,,,,,,,16711748,0,0
387,-1,-1,0,Arenas,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,137,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
363,-1,-1,0,5v5 matches,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,152,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
333,-1,-1,0,Total gold looted,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,140,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
129,-1,-1,128,Master Fisherman,,,,,,,,,,,,,,,,16711758,Become a master fisherman.,,,,,,,,,,,,,,,,16711750,171,5,4,0,580,,,,,,,,,,,,,,,,,16711748,0,0
733,-1,-1,732,Professional Master,,,,,,,,,,,,,,,,16711750,Become a master in a profession.,,,,,,,,,,,,,,,,16711750,169,10,4,0,2846,,,,,,,,,,,,,,,,,16711748,1,0
89,-1,-1,0,Total mail sent,,,,,,,,,,,,,,,,16711788,,,,,,,,,,,,,,,,,16711756,151,0,4,1,0,,,,,,,,,,,,,,,,,16711748,0,0
193,-1,-1,0,Largest hit,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,141,0,4,1,4,,,,,,,,,,,,,,,,,16711748,0,0
191,-1,-1,0,Ability used in largest heal,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,142,0,5,1,4,,,,,,,,,,,,,,,,,16711748,0,0
130,-1,-1,129,Grand Master Fisherman,,,,,,,,,,,,,,,,16711750,Become a grand master fisherman.,,,,,,,,,,,,,,,,16711750,171,10,5,0,580,,,,,,,,,,,,,,,,,16711748,0,0
923,-1,-1,0,Elixirs consumed,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,145,0,5,0,1,,,,,,,,,,,,,,,,,16711748,0,0
664,-1,-1,0,Collector's Edition: Zergling,,,,,,,,,,,,,,,,16711750,Owner of the World of Warcraft Collector's Edition Zergling pet.,,,,,,,,,,,,,,,,16711748,81,0,5,0,214,,,,,,,,,,,,,,,,,16711748,0,0
224,0,30,0,Loyal Defender,,,,,,,,,,,,,,,,8323072,"In Alterac Valley, kill 50 enemy players in the Hall of the Frostwolf.",,,,,,,,,,,,,,,,8323072,14801,5,5,0,2135,,,,,,,,,,,,,,,,,16711748,0,0
1095,-1,230,0,Emperor Dagran Thaurissan kills (Blackrock Depths),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14821,5,5,1,2302,,,,,,,,,,,,,,,,,16711680,0,0
1072,-1,546,0,Black Stalker kills (Underbog),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14822,5,5,1,2603,,,,,,,,,,,,,,,,,16711680,0,0
934,-1,-1,0,Total 25-player raids entered,,,,,,,,,,,,,,,,16711778,,,,,,,,,,,,,,,,,16715840,14807,0,5,1,1,,,,,,,,,,,,,,,,,16711748,0,0
73,-1,529,0,Disgracin' The Basin,,,,,,,,,,,,,,,,16711776,Assault 3 bases in a single Arathi Basin battle.,,,,,,,,,,,,,,,,16711778,14802,10,5,0,456,,,,,,,,,,,,,,,,,16711748,0,0
352,-1,-1,0,Times summoned to a Meeting Stone,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,134,0,5,1,4,,,,,,,,,,,,,,,,,16711748,0,0
375,-1,-1,0,Highest total strength,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,143,0,5,1,4,,,,,,,,,,,,,,,,,16711748,0,0
609,-1,-1,608,50 Coins of Ancestry,,,,,,,,,,,,,,,,16711750,Receive 50 Coins of Ancestry.,,,,,,,,,,,,,,,,16711750,160,10,5,0,2717,,,,,,,,,,,,,,,,,16711748,0,0
482,-1,600,0,Drak'Tharon Keep,,,,,,,,,,,,,,,,16712006,Kill all of the bosses in Drak'Tharon Keep.,,,,,,,,,,,,,,,,16711748,14806,5,5,0,2912,,,,,,,,,,,,,,,,,16711748,0,0
319,-1,-1,0,Duels won,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,154,0,5,1,4,,,,,,,,,,,,,,,,,16711748,0,0
362,-1,-1,0,5v5 victories,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,152,0,5,1,4,,,,,,,,,,,,,,,,,16711748,0,0
295,-1,-1,0,Down yer Brew <PH> <nyi>,,,,,,,,,,,,,,,,16711748,Kill the Brewfest Boss.,,,,,,,,,,,,,,,,16711748,162,5,5,0,1,,,,,,,,,,,,,,,,,16711748,0,0
872,-1,489,0,Frenzied Defender,,,,,,,,,,,,,,,,16711748,Return 5 flags in a single Warsong Gulch battle.,,,,,,,,,,,,,,,,16711748,14804,10,5,0,2615,,,,,,,,,,,,,,,,,16711748,0,0
865,-1,-1,0,Explore Blade's Edge Mountains,,,,,,,,,,,,,,,,16711750,"Explore Blade's Edge Mountains, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14779,5,5,0,687,,,,,,,,,,,,,,,,,16711748,0,0
759,1,-1,0,Average daily quests completed per day,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,133,0,5,1,1,,,,,,,,,,,,,,,,,16711748,0,0
507,-1,-1,506,1000 Quests Completed,,,,,,,,,,,,,,,,16711750,Complete 1000 quests.,,,,,,,,,,,,,,,,16711750,96,30,5,0,2888,,,,,,,,,,,,,,,,,16711748,0,0
512,-1,-1,516,5000 Honorable Kills,,,,,,,,,,,,,,,,16711750,Get 5000 honorable kills.,,,,,,,,,,,,,,,,16711748,95,5,5,0,2117,,,,,,,,,,,,,,,,,16711748,0,0
326,-1,-1,0,Total gold from quest rewards,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,140,0,5,1,4,,,,,,,,,,,,,,,,,16711748,0,0
1042,-1,-1,0,Number of characters hugged,,,,,,,,,,,,,,,,16711748,,,,,,,,,,,,,,,,,16711748,151,0,5,1,1,,,,,,,,,,,,,,,,,16711684,0,0
1034,1,-1,0,The Fires of Azeroth,,,,,,,,,,,,,,,,16711748,"Complete the Flame Warden of Eastern Kingdoms, Kalimdor and Outland achievements.",,,,,,,,,,,,,,,,16711748,161,10,5,0,12,,,,,,,,,,,,,,,,,16711684,0,0
181,-1,-1,0,Total number of items disenchanted,,,,,,,,,,,,,,,,16711788,,,,,,,,,,,,,,,,,16711775,176,0,5,1,4,,,,,,,,,,,,,,,,,16711748,0,0
58,-1,30,0,Deaths from Drek'Thar,,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,124,0,5,1,1,,,,,,,,,,,,,,,,,16711748,0,0
925,-1,-1,0,Outland factions at Exalted,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,147,0,5,1,1,,,,,,,,,,,,,,,,,16711748,0,0
214,-1,566,0,Flurry,,,,,,,,,,,,,,,,16712004,Win Eye of the Storm in under 6 minutes.,,,,,,,,,,,,,,,,16711748,14803,10,5,0,2830,,,,,,,,,,,,,,,,,16711748,0,0
322,-1,-1,0,Total deaths to 5-player dungeon bosses,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711775,125,0,5,1,4,,,,,,,,,,,,,,,,,16711748,0,0
